Bin_ID,Location,Timestamp,Current_Fill_Level,Previous_Fill_Level,Fill_Rate,Day_of_Week,Hour,Waste_Type,Historical_Average_Fill,Collection_Due,Overflow_Status
HB1-05,Hostel Block 1,2026-09-22T00:00:00,53.87,48.1,5.94,Tuesday,18,Organic,62.97,No,No Overflow
HB2-09,Hostel Block 2,2026-09-02T22:00:00,82.86,76.84,4.18,Wednesday,16,Organic,51.23,Yes,Likely Overflow
CA-05,Common Area,2026-09-10T16:00:00,34.22,31.84,3.3,Thursday,10,Plastic,55.44,No,No Overflow
AB-A-07,Academic Block A,2026-09-25T23:00:00,28.03,31.62,2.0,Friday,17,Paper,46.67,No,No Overflow
AB-B-03,Academic Block B,2026-09-23T17:00:00,81.7,85.56,2.5,Wednesday,11,Paper,53.26,Yes,Likely Overflow
CAN-07,Canteen,2026-09-02T17:00:00,80.16,69.37,11.76,Wednesday,11,Mixed,63.45,Yes,Likely Overflow
AB-B-08,Academic Block B,2026-09-17T19:00:00,92.41,85.81,2.5,Thursday,13,Paper,47.19,Yes,Overflowed
AB-B-03,Academic Block B,2026-09-06T14:00:00,81.18,81.7,1.12,Sunday,8,Paper,47.97,Yes,Likely Overflow
LIB-08,Library,2026-09-08T20:00:00,23.07,21.45,2.16,Tuesday,14,Paper,44.43,No,No Overflow
HB1-01,Hostel Block 1,2026-09-15T17:00:00,100,100,4.4,Tuesday,11,Organic,59.0,Yes,Overflowed
HB2-04,Hostel Block 2,2026-09-29T17:00:00,79.75,80.36,4.18,Tuesday,11,Organic,62.2,Yes,Likely Overflow
HB2-03,Hostel Block 2,2026-09-12T22:00:00,81.36,71.09,3.8,Saturday,16,Organic,55.38,Yes,Likely Overflow
CAN-01,Canteen,2026-09-09T20:00:00,100,100,11.76,Wednesday,14,Mixed,72.22,Yes,Overflowed
HB1-09,Hostel Block 1,2026-09-28T20:00:00,53.7,50.96,4.4,Monday,14,Organic,48.92,No,No Overflow
HB1-07,Hostel Block 1,2026-09-19T17:00:00,41.16,40.03,4.0,Saturday,11,Organic,64.87,No,No Overflow
CAN-10,Canteen,2026-09-22T19:00:00,71.09,58.41,11.76,Tuesday,13,Mixed,61.94,Yes,Likely Overflow
LIB-08,Library,2026-09-26T00:00:00,29.72,23.07,0.9,Saturday,18,Paper,45.52,No,No Overflow
CAN-04,Canteen,2026-09-17T02:00:00,100,97.59,11.76,Thursday,20,Mixed,73.27,Yes,Overflowed
CAN-08,Canteen,2026-09-08T22:00:00,95.45,90.98,8.4,Tuesday,16,Mixed,71.43,Yes,Overflowed
AB-B-05,Academic Block B,2026-09-20T17:00:00,48.25,44.03,1.12,Sunday,11,Paper,49.2,No,No Overflow
LIB-07,Library,2026-09-23T02:00:00,77.93,81.41,2.16,Wednesday,20,Paper,30.46,Yes,Likely Overflow
LIB-05,Library,2026-09-21T13:00:00,24.7,23.37,2.16,Monday,7,Paper,33.56,No,No Overflow
LIB-02,Library,2026-09-13T00:00:00,95.89,89.26,0.9,Sunday,18,Paper,30.37,Yes,Overflowed
HB1-05,Hostel Block 1,2026-09-24T19:00:00,53.12,53.87,4.4,Thursday,13,Organic,50.16,No,No Overflow
HB2-09,Hostel Block 2,2026-09-29T18:00:00,92.83,82.86,4.18,Tuesday,12,Organic,59.56,Yes,Overflowed
CAN-10,Canteen,2026-09-06T17:00:00,90.05,71.09,12.74,Sunday,11,Mixed,73.45,Yes,Overflowed
CA-08,Common Area,2026-09-26T17:00:00,56.95,56.57,2.64,Saturday,11,Plastic,55.44,No,No Overflow
AB-A-08,Academic Block A,2026-09-15T14:00:00,46.45,37.92,2.0,Tuesday,8,Paper,36.53,No,No Overflow
CA-02,Common Area,2026-09-23T00:00:00,98.9,97.04,3.3,Wednesday,18,Plastic,54.14,Yes,Overflowed
CA-01,Common Area,2026-09-26T21:00:00,90.76,84.05,2.64,Saturday,15,Plastic,48.58,Yes,Overflowed
AB-A-01,Academic Block A,2026-09-09T21:00:00,97.32,97.16,2.0,Wednesday,15,Paper,36.22,Yes,Overflowed
CAN-04,Canteen,2026-09-22T17:00:00,100,100,11.76,Tuesday,11,Mixed,67.52,Yes,Overflowed
CA-07,Common Area,2026-09-12T14:00:00,94.53,92.29,2.64,Saturday,8,Plastic,54.15,Yes,Overflowed
LIB-04,Library,2026-09-29T21:00:00,55.3,51.6,2.16,Tuesday,15,Paper,33.9,No,No Overflow
LIB-06,Library,2026-09-03T23:00:00,58.85,50.96,2.16,Thursday,17,Paper,42.83,No,No Overflow
HB1-04,Hostel Block 1,2026-09-21T19:00:00,81.06,83.03,4.4,Monday,13,Organic,49.1,Yes,Likely Overflow
AB-A-03,Academic Block A,2026-09-10T20:00:00,97.89,99.6,2.0,Thursday,14,Paper,36.09,Yes,Overflowed
HB2-09,Hostel Block 2,2026-09-05T19:00:00,99.02,92.83,3.8,Saturday,13,Organic,58.17,Yes,Overflowed
CAN-04,Canteen,2026-09-23T21:00:00,100,100,8.4,Wednesday,15,Mixed,64.54,Yes,Overflowed
AB-B-02,Academic Block B,2026-09-29T19:00:00,52.87,45.7,2.5,Tuesday,13,Paper,48.79,No,No Overflow
LIB-04,Library,2026-09-14T17:00:00,55.65,55.3,2.16,Monday,11,Paper,28.59,No,No Overflow
HB2-03,Hostel Block 2,2026-09-15T16:00:00,79.93,81.36,4.18,Tuesday,10,Organic,65.4,Yes,Likely Overflow
LIB-08,Library,2026-09-12T21:00:00,32.65,29.72,0.9,Saturday,15,Paper,44.23,No,No Overflow
AB-A-04,Academic Block A,2026-09-13T17:00:00,29.59,33.98,0.9,Sunday,11,Paper,37.42,No,No Overflow
CA-01,Common Area,2026-09-27T20:00:00,89.37,90.76,2.64,Sunday,14,Plastic,43.65,Yes,Overflowed
LIB-05,Library,2026-09-20T13:00:00,23.27,24.7,0.9,Sunday,7,Paper,28.91,No,No Overflow
AB-B-01,Academic Block B,2026-09-26T22:00:00,46.7,40.96,1.12,Saturday,16,Paper,40.69,No,No Overflow
HB2-10,Hostel Block 2,2026-09-07T22:00:00,100,100,4.18,Monday,16,Organic,53.89,Yes,Overflowed
HB1-06,Hostel Block 1,2026-09-25T15:00:00,82.96,77.22,4.4,Friday,9,Organic,61.2,Yes,Likely Overflow
HB1-02,Hostel Block 1,2026-09-28T15:00:00,63.51,58.55,4.4,Monday,9,Organic,64.78,No,No Overflow
CAN-08,Canteen,2026-09-06T14:00:00,97.91,95.45,9.1,Sunday,8,Mixed,68.9,Yes,Overflowed
AB-A-01,Academic Block A,2026-09-13T01:00:00,99.46,97.32,0.9,Sunday,19,Paper,48.19,Yes,Overflowed
AB-A-02,Academic Block A,2026-09-06T17:00:00,83.78,79.5,0.9,Sunday,11,Paper,34.94,Yes,Likely Overflow
HB2-08,Hostel Block 2,2026-09-05T00:00:00,100,99.7,5.13,Saturday,18,Organic,51.14,Yes,Overflowed
HB1-08,Hostel Block 1,2026-09-17T22:00:00,18.74,14.29,4.4,Thursday,16,Organic,48.96,No,No Overflow
CA-07,Common Area,2026-09-20T13:00:00,100,94.53,2.64,Sunday,7,Plastic,55.09,Yes,Overflowed
LIB-07,Library,2026-09-17T17:00:00,86.59,77.93,2.16,Thursday,11,Paper,36.24,Yes,Overflowed
AB-A-04,Academic Block A,2026-09-17T02:00:00,34.2,29.59,2.0,Thursday,20,Paper,41.23,No,No Overflow
HB2-06,Hostel Block 2,2026-09-24T03:00:00,53.65,42.42,5.64,Thursday,21,Organic,57.98,No,No Overflow
HB1-05,Hostel Block 1,2026-09-20T15:00:00,53.97,53.12,4.0,Sunday,9,Organic,48.18,No,No Overflow
LIB-05,Library,2026-09-19T21:00:00,22.5,23.27,0.9,Saturday,15,Paper,40.82,No,No Overflow
LIB-03,Library,2026-09-17T17:00:00,43.35,39.71,2.16,Thursday,11,Paper,36.17,No,No Overflow
AB-A-07,Academic Block A,2026-09-27T00:00:00,31.1,28.03,0.9,Sunday,18,Paper,36.06,No,No Overflow
CA-03,Common Area,2026-09-25T21:00:00,93.91,94.6,3.3,Friday,15,Plastic,54.98,Yes,Overflowed
HB2-03,Hostel Block 2,2026-09-29T16:00:00,88.69,79.93,4.18,Tuesday,10,Organic,57.45,Yes,Overflowed
HB1-10,Hostel Block 1,2026-09-15T00:00:00,36.04,31.13,5.94,Tuesday,18,Organic,48.71,No,No Overflow
LIB-07,Library,2026-09-09T18:00:00,91.37,86.59,2.16,Wednesday,12,Paper,45.16,Yes,Overflowed
HB2-05,Hostel Block 2,2026-09-03T14:00:00,57.61,57.66,5.64,Thursday,8,Organic,64.97,No,No Overflow
AB-A-07,Academic Block A,2026-09-25T00:00:00,27.92,31.1,2.0,Friday,18,Paper,40.71,No,No Overflow
AB-A-04,Academic Block A,2026-09-19T21:00:00,37.48,34.2,0.9,Saturday,15,Paper,44.11,No,No Overflow
HB2-01,Hostel Block 2,2026-09-13T02:00:00,69.66,61.03,5.13,Sunday,20,Organic,61.98,No,No Overflow
CA-02,Common Area,2026-10-01T00:00:00,99.23,98.9,3.3,Thursday,18,Plastic,42.93,Yes,Overflowed
HB1-04,Hostel Block 1,2026-09-12T14:00:00,82.44,81.06,5.4,Saturday,8,Organic,57.4,Yes,Likely Overflow
LIB-07,Library,2026-09-16T16:00:00,91.43,91.37,2.16,Wednesday,10,Paper,43.25,Yes,Overflowed
HB2-10,Hostel Block 2,2026-09-12T14:00:00,100,100,5.13,Saturday,8,Organic,63.73,Yes,Overflowed
CAN-08,Canteen,2026-09-15T02:00:00,100,97.91,11.76,Tuesday,20,Mixed,67.1,Yes,Overflowed
LIB-04,Library,2026-09-20T23:00:00,49.92,55.65,0.9,Sunday,17,Paper,39.57,No,No Overflow
CA-06,Common Area,2026-09-23T02:00:00,83.43,86.72,3.3,Wednesday,20,Plastic,54.48,Yes,Likely Overflow
HB1-02,Hostel Block 1,2026-09-24T01:00:00,67.21,63.51,5.94,Thursday,19,Organic,52.56,No,No Overflow
AB-A-01,Academic Block A,2026-09-07T02:00:00,100,99.46,2.0,Monday,20,Paper,36.58,Yes,Overflowed
AB-A-05,Academic Block A,2026-09-06T00:00:00,21.69,27.36,0.9,Sunday,18,Paper,45.4,No,No Overflow
CAN-04,Canteen,2026-09-17T16:00:00,100,100,8.4,Thursday,10,Mixed,63.77,Yes,Overflowed
AB-B-03,Academic Block B,2026-09-12T17:00:00,86.18,81.18,1.12,Saturday,11,Paper,49.99,Yes,Overflowed
LIB-01,Library,2026-09-20T14:00:00,67.7,71.62,0.9,Sunday,8,Paper,43.9,No,No Overflow
CAN-05,Canteen,2026-09-20T13:00:00,70.19,64.28,9.1,Sunday,7,Mixed,69.13,Yes,Likely Overflow
LIB-07,Library,2026-09-14T20:00:00,92.39,91.43,2.16,Monday,14,Paper,38.93,Yes,Overflowed
AB-B-06,Academic Block B,2026-09-25T21:00:00,47.93,46.41,2.5,Friday,15,Paper,39.05,No,No Overflow
HB1-03,Hostel Block 1,2026-09-22T23:00:00,93.58,88.8,4.4,Tuesday,17,Organic,57.68,Yes,Overflowed
HB1-04,Hostel Block 1,2026-09-02T16:00:00,88.23,82.44,4.4,Wednesday,10,Organic,54.11,Yes,Overflowed
AB-A-01,Academic Block A,2026-09-07T17:00:00,100,100,2.0,Monday,11,Paper,51.02,Yes,Overflowed
CAN-05,Canteen,2026-09-09T17:00:00,75.06,70.19,11.76,Wednesday,11,Mixed,62.91,Yes,Likely Overflow
CAN-04,Canteen,2026-09-14T15:00:00,100,100,8.4,Monday,9,Mixed,59.33,Yes,Overflowed
AB-B-07,Academic Block B,2026-09-17T21:00:00,66.4,59.61,2.5,Thursday,15,Paper,52.0,No,No Overflow
AB-A-05,Academic Block A,2026-09-14T02:00:00,22.8,21.69,2.0,Monday,20,Paper,47.36,No,No Overflow
HB2-04,Hostel Block 2,2026-09-30T14:00:00,86.45,79.75,5.64,Wednesday,8,Organic,65.52,Yes,Overflowed
LIB-01,Library,2026-09-14T00:00:00,66.91,67.7,2.16,Monday,18,Paper,39.52,No,No Overflow
HB1-10,Hostel Block 1,2026-09-01T18:00:00,46.71,36.04,4.4,Tuesday,12,Organic,50.09,No,No Overflow
HB2-04,Hostel Block 2,2026-09-28T00:00:00,86.33,86.45,5.64,Monday,18,Organic,66.56,Yes,Overflowed
CA-01,Common Area,2026-09-04T16:00:00,91.28,89.37,3.3,Friday,10,Plastic,49.84,Yes,Overflowed
AB-A-06,Academic Block A,2026-09-14T02:00:00,37.46,37.71,2.0,Monday,20,Paper,39.58,No,No Overflow
HB1-06,Hostel Block 1,2026-09-25T15:00:00,89.23,82.96,4.4,Friday,9,Organic,48.37,Yes,Overflowed
HB2-08,Hostel Block 2,2026-09-17T16:00:00,100,100,4.18,Thursday,10,Organic,66.31,Yes,Overflowed
CAN-03,Canteen,2026-09-27T23:00:00,96.55,91.14,9.1,Sunday,17,Mixed,71.67,Yes,Overflowed
AB-B-02,Academic Block B,2026-09-09T16:00:00,50.51,52.87,2.5,Wednesday,10,Paper,40.12,No,No Overflow
CAN-05,Canteen,2026-09-21T14:00:00,87.28,75.06,8.4,Monday,8,Mixed,60.19,Yes,Overflowed
HB2-06,Hostel Block 2,2026-09-16T01:00:00,60.41,53.65,5.64,Wednesday,19,Organic,60.15,No,No Overflow
LIB-08,Library,2026-10-01T03:00:00,36.7,32.65,2.16,Thursday,21,Paper,38.16,No,No Overflow
LIB-04,Library,2026-09-12T02:00:00,48.25,49.92,0.9,Saturday,20,Paper,45.48,No,No Overflow
HB2-03,Hostel Block 2,2026-09-03T20:00:00,90.11,88.69,4.18,Thursday,14,Organic,57.96,Yes,Overflowed
HB1-02,Hostel Block 1,2026-09-19T13:00:00,66.65,67.21,5.4,Saturday,7,Organic,53.33,No,No Overflow
HB2-04,Hostel Block 2,2026-09-15T13:00:00,96.62,86.33,5.64,Tuesday,7,Organic,51.02,Yes,Overflowed
AB-A-05,Academic Block A,2026-09-22T02:00:00,19.06,22.8,2.0,Tuesday,20,Paper,51.59,No,No Overflow
LIB-03,Library,2026-09-17T19:00:00,46.27,43.35,2.16,Thursday,13,Paper,36.33,No,No Overflow
CAN-07,Canteen,2026-09-25T03:00:00,94.29,80.16,8.4,Friday,21,Mixed,57.74,Yes,Overflowed
LIB-01,Library,2026-09-21T16:00:00,68.73,66.91,2.16,Monday,10,Paper,33.79,No,No Overflow
AB-B-02,Academic Block B,2026-09-02T20:00:00,58.6,50.51,2.5,Wednesday,14,Paper,38.86,No,No Overflow
HB1-06,Hostel Block 1,2026-09-23T14:00:00,90.59,89.23,5.94,Wednesday,8,Organic,56.08,Yes,Overflowed
AB-B-08,Academic Block B,2026-09-23T20:00:00,95.25,92.41,2.5,Wednesday,14,Paper,54.84,Yes,Overflowed
LIB-04,Library,2026-09-06T18:00:00,46.11,48.25,0.9,Sunday,12,Paper,34.71,No,No Overflow
HB2-01,Hostel Block 2,2026-09-25T18:00:00,67.57,69.66,4.18,Friday,12,Organic,62.22,No,No Overflow
LIB-05,Library,2026-09-21T18:00:00,18.98,22.5,2.16,Monday,12,Paper,29.19,No,No Overflow
LIB-08,Library,2026-09-13T17:00:00,42.52,36.7,0.9,Sunday,11,Paper,32.54,No,No Overflow
CA-08,Common Area,2026-09-30T22:00:00,57.92,56.95,3.3,Wednesday,16,Plastic,57.72,No,No Overflow
LIB-02,Library,2026-09-22T15:00:00,95.39,95.89,2.16,Tuesday,9,Paper,44.5,Yes,Overflowed
LIB-06,Library,2026-09-23T23:00:00,62.34,58.85,2.16,Wednesday,17,Paper,35.06,No,No Overflow
CA-07,Common Area,2026-09-03T17:00:00,100,100,3.3,Thursday,11,Plastic,52.06,Yes,Overflowed
HB1-06,Hostel Block 1,2026-09-27T15:00:00,99.2,90.59,4.0,Sunday,9,Organic,59.06,Yes,Overflowed
CAN-04,Canteen,2026-09-23T03:00:00,100,100,8.4,Wednesday,21,Mixed,66.48,Yes,Overflowed
HB2-02,Hostel Block 2,2026-09-17T18:00:00,90.93,89.43,4.18,Thursday,12,Organic,50.33,Yes,Overflowed
CA-07,Common Area,2026-09-07T18:00:00,100,100,3.3,Monday,12,Plastic,59.06,Yes,Overflowed
AB-B-07,Academic Block B,2026-09-05T15:00:00,72.35,66.4,1.12,Saturday,9,Paper,38.39,No,Likely Overflow
AB-A-07,Academic Block A,2026-09-18T01:00:00,33.26,27.92,2.0,Friday,19,Paper,43.72,No,No Overflow
HB2-08,Hostel Block 2,2026-09-02T23:00:00,100,100,4.18,Wednesday,17,Organic,56.06,Yes,Overflowed
AB-B-01,Academic Block B,2026-09-20T19:00:00,43.36,46.7,1.12,Sunday,13,Paper,39.78,No,No Overflow
CAN-01,Canteen,2026-09-25T22:00:00,100,100,8.4,Friday,16,Mixed,71.56,Yes,Overflowed
HB2-03,Hostel Block 2,2026-09-02T19:00:00,97.36,90.11,4.18,Wednesday,13,Organic,56.56,Yes,Overflowed
HB2-03,Hostel Block 2,2026-09-20T17:00:00,100,97.36,3.8,Sunday,11,Organic,63.54,Yes,Overflowed
AB-B-07,Academic Block B,2026-09-18T16:00:00,79.17,72.35,2.5,Friday,10,Paper,42.57,Yes,Likely Overflow
HB2-05,Hostel Block 2,2026-09-30T02:00:00,65.75,57.61,5.64,Wednesday,20,Organic,53.49,No,No Overflow
LIB-01,Library,2026-09-15T20:00:00,74.78,68.73,2.16,Tuesday,14,Paper,41.85,No,Likely Overflow
HB2-07,Hostel Block 2,2026-09-17T19:00:00,36.6,27.98,4.18,Thursday,13,Organic,67.39,No,No Overflow
CAN-08,Canteen,2026-09-20T15:00:00,100,100,9.1,Sunday,9,Mixed,72.71,Yes,Overflowed
HB2-05,Hostel Block 2,2026-09-28T18:00:00,64.37,65.75,4.18,Monday,12,Organic,59.98,No,No Overflow
CA-01,Common Area,2026-09-18T02:00:00,88.75,91.28,3.3,Friday,20,Plastic,44.24,Yes,Overflowed
AB-B-03,Academic Block B,2026-09-09T20:00:00,83.74,86.18,2.5,Wednesday,14,Paper,53.3,Yes,Likely Overflow
HB2-02,Hostel Block 2,2026-09-04T03:00:00,95.89,90.93,5.64,Friday,21,Organic,54.0,Yes,Overflowed
HB1-07,Hostel Block 1,2026-09-30T13:00:00,45.65,41.16,5.94,Wednesday,7,Organic,54.47,No,No Overflow
HB1-08,Hostel Block 1,2026-09-08T19:00:00,21.39,18.74,4.4,Tuesday,13,Organic,64.9,No,No Overflow
AB-A-02,Academic Block A,2026-09-12T03:00:00,87.69,83.78,0.9,Saturday,21,Paper,35.78,Yes,Overflowed
HB1-06,Hostel Block 1,2026-09-26T15:00:00,100,99.2,4.0,Saturday,9,Organic,49.48,Yes,Overflowed
CAN-10,Canteen,2026-09-17T00:00:00,100,90.05,11.76,Thursday,18,Mixed,71.96,Yes,Overflowed
HB2-05,Hostel Block 2,2026-09-15T22:00:00,62.66,64.37,4.18,Tuesday,16,Organic,50.09,No,No Overflow
HB1-01,Hostel Block 1,2026-09-08T02:00:00,100,100,5.94,Tuesday,20,Organic,49.69,Yes,Overflowed
LIB-03,Library,2026-09-17T19:00:00,45.46,46.27,2.16,Thursday,13,Paper,30.0,No,No Overflow
HB1-04,Hostel Block 1,2026-09-04T13:00:00,96.12,88.23,5.94,Friday,7,Organic,51.29,Yes,Overflowed
LIB-04,Library,2026-09-15T14:00:00,53.94,46.11,2.16,Tuesday,8,Paper,30.0,No,No Overflow
LIB-03,Library,2026-09-18T13:00:00,48.67,45.46,2.16,Friday,7,Paper,39.38,No,No Overflow
CAN-02,Canteen,2026-09-05T17:00:00,68.09,53.74,12.74,Saturday,11,Mixed,64.73,Yes,Likely Overflow
AB-B-08,Academic Block B,2026-09-19T19:00:00,98.73,95.25,1.12,Saturday,13,Paper,40.37,Yes,Overflowed
HB2-08,Hostel Block 2,2026-09-12T14:00:00,100,100,5.13,Saturday,8,Organic,67.16,Yes,Overflowed
CAN-07,Canteen,2026-09-17T21:00:00,100,94.29,8.4,Thursday,15,Mixed,57.37,Yes,Overflowed
AB-A-03,Academic Block A,2026-09-21T19:00:00,96.44,97.89,2.0,Monday,13,Paper,51.66,Yes,Overflowed
AB-A-02,Academic Block A,2026-09-13T01:00:00,84.97,87.69,0.9,Sunday,19,Paper,35.22,Yes,Likely Overflow
LIB-07,Library,2026-09-21T14:00:00,97.84,92.39,2.16,Monday,8,Paper,41.89,Yes,Overflowed
HB1-06,Hostel Block 1,2026-09-05T13:00:00,100,100,5.4,Saturday,7,Organic,53.34,Yes,Overflowed
LIB-06,Library,2026-09-07T02:00:00,64.0,62.34,2.16,Monday,20,Paper,42.02,No,No Overflow
CAN-01,Canteen,2026-09-16T23:00:00,100,100,8.4,Wednesday,17,Mixed,60.28,Yes,Overflowed
CAN-02,Canteen,2026-09-25T20:00:00,75.67,68.09,11.76,Friday,14,Mixed,57.67,Yes,Likely Overflow
CAN-07,Canteen,2026-09-08T03:00:00,100,100,8.4,Tuesday,21,Mixed,57.75,Yes,Overflowed
HB2-07,Hostel Block 2,2026-09-14T02:00:00,38.79,36.6,5.64,Monday,20,Organic,59.77,No,No Overflow
CAN-05,Canteen,2026-09-21T16:00:00,100,87.28,8.4,Monday,10,Mixed,62.15,Yes,Overflowed
AB-A-04,Academic Block A,2026-09-28T23:00:00,34.22,37.48,2.0,Monday,17,Paper,39.97,No,No Overflow
HB1-08,Hostel Block 1,2026-09-15T03:00:00,26.49,21.39,5.94,Tuesday,21,Organic,54.2,No,No Overflow
CA-08,Common Area,2026-09-13T18:00:00,60.51,57.92,2.64,Sunday,12,Plastic,59.53,No,No Overflow
HB2-06,Hostel Block 2,2026-09-13T03:00:00,62.27,60.41,5.13,Sunday,21,Organic,64.35,No,No Overflow
AB-A-06,Academic Block A,2026-09-24T19:00:00,40.89,37.46,2.0,Thursday,13,Paper,35.42,No,No Overflow
CAN-09,Canteen,2026-09-06T21:00:00,100,100,9.1,Sunday,15,Mixed,62.29,Yes,Overflowed
HB1-05,Hostel Block 1,2026-09-22T17:00:00,59.81,53.97,4.4,Tuesday,11,Organic,52.52,No,No Overflow
HB2-02,Hostel Block 2,2026-09-07T00:00:00,100,95.89,5.64,Monday,18,Organic,57.99,Yes,Overflowed
CAN-03,Canteen,2026-09-29T03:00:00,100,96.55,8.4,Tuesday,21,Mixed,63.35,Yes,Overflowed
HB1-02,Hostel Block 1,2026-09-22T01:00:00,66.64,66.65,5.94,Tuesday,19,Organic,64.06,No,No Overflow
LIB-05,Library,2026-09-13T18:00:00,23.38,18.98,0.9,Sunday,12,Paper,37.24,No,No Overflow
AB-B-03,Academic Block B,2026-09-01T15:00:00,88.73,83.74,2.5,Tuesday,9,Paper,52.28,Yes,Overflowed
HB2-03,Hostel Block 2,2026-09-02T15:00:00,100,100,4.18,Wednesday,9,Organic,51.21,Yes,Overflowed
HB1-08,Hostel Block 1,2026-09-12T19:00:00,23.94,26.49,4.0,Saturday,13,Organic,64.09,No,No Overflow
AB-B-02,Academic Block B,2026-09-22T20:00:00,59.31,58.6,2.5,Tuesday,14,Paper,54.08,No,No Overflow
CAN-05,Canteen,2026-09-03T22:00:00,100,100,8.4,Thursday,16,Mixed,59.48,Yes,Overflowed
HB1-05,Hostel Block 1,2026-09-21T17:00:00,58.8,59.81,4.4,Monday,11,Organic,51.49,No,No Overflow
CAN-04,Canteen,2026-09-06T20:00:00,100,100,12.74,Sunday,14,Mixed,66.32,Yes,Overflowed
AB-A-08,Academic Block A,2026-09-10T01:00:00,47.7,46.45,2.0,Thursday,19,Paper,38.69,No,No Overflow
LIB-04,Library,2026-09-11T00:00:00,55.98,53.94,2.16,Friday,18,Paper,44.5,No,No Overflow
AB-A-08,Academic Block A,2026-09-06T02:00:00,44.02,47.7,0.9,Sunday,20,Paper,35.33,No,No Overflow
CAN-02,Canteen,2026-09-15T14:00:00,90.62,75.67,8.4,Tuesday,8,Mixed,71.59,Yes,Overflowed
HB1-05,Hostel Block 1,2026-09-22T18:00:00,63.9,58.8,4.4,Tuesday,12,Organic,59.77,No,No Overflow
HB1-03,Hostel Block 1,2026-09-29T17:00:00,100,93.58,4.4,Tuesday,11,Organic,62.32,Yes,Overflowed
CA-06,Common Area,2026-09-23T23:00:00,84.79,83.43,3.3,Wednesday,17,Plastic,45.13,Yes,Likely Overflow
AB-B-07,Academic Block B,2026-09-04T16:00:00,77.98,79.17,2.5,Friday,10,Paper,51.26,Yes,Likely Overflow
HB2-06,Hostel Block 2,2026-09-01T18:00:00,64.61,62.27,4.18,Tuesday,12,Organic,59.97,No,No Overflow
CAN-08,Canteen,2026-09-18T15:00:00,100,100,8.4,Friday,9,Mixed,68.02,Yes,Overflowed
HB1-04,Hostel Block 1,2026-09-14T00:00:00,100,96.12,5.94,Monday,18,Organic,59.94,Yes,Overflowed
CAN-06,Canteen,2026-09-15T02:00:00,89.36,82.85,11.76,Tuesday,20,Mixed,67.35,Yes,Overflowed
HB1-05,Hostel Block 1,2026-09-21T14:00:00,72.36,63.9,5.94,Monday,8,Organic,55.1,No,Likely Overflow
HB1-07,Hostel Block 1,2026-09-06T03:00:00,51.77,45.65,5.4,Sunday,21,Organic,61.92,No,No Overflow
LIB-02,Library,2026-09-07T01:00:00,96.61,95.39,2.16,Monday,19,Paper,45.39,Yes,Overflowed
CA-05,Common Area,2026-09-28T13:00:00,37.77,34.22,3.3,Monday,7,Plastic,56.97,No,No Overflow
HB1-04,Hostel Block 1,2026-09-06T15:00:00,100,100,4.0,Sunday,9,Organic,52.81,Yes,Overflowed
HB1-07,Hostel Block 1,2026-09-18T03:00:00,51.81,51.77,5.94,Friday,21,Organic,52.11,No,No Overflow
AB-B-05,Academic Block B,2026-09-21T21:00:00,52.5,48.25,2.5,Monday,15,Paper,41.94,No,No Overflow
LIB-04,Library,2026-09-18T14:00:00,53.5,55.98,2.16,Friday,8,Paper,37.05,No,No Overflow
CA-07,Common Area,2026-09-19T15:00:00,100,100,2.64,Saturday,9,Plastic,45.08,Yes,Overflowed
CA-04,Common Area,2026-09-20T18:00:00,94.81,91.28,2.64,Sunday,12,Plastic,57.17,Yes,Overflowed
CAN-09,Canteen,2026-09-28T13:00:00,100,100,8.4,Monday,7,Mixed,58.46,Yes,Overflowed
CAN-06,Canteen,2026-09-19T17:00:00,100,89.36,12.74,Saturday,11,Mixed,68.72,Yes,Overflowed
HB2-01,Hostel Block 2,2026-09-20T23:00:00,76.82,67.57,3.8,Sunday,17,Organic,50.55,Yes,Likely Overflow
HB2-09,Hostel Block 2,2026-09-10T23:00:00,100,99.02,4.18,Thursday,17,Organic,67.22,Yes,Overflowed
CAN-08,Canteen,2026-09-26T23:00:00,100,100,9.1,Saturday,17,Mixed,64.31,Yes,Overflowed
CAN-01,Canteen,2026-09-02T15:00:00,100,100,8.4,Wednesday,9,Mixed,64.91,Yes,Overflowed
AB-B-06,Academic Block B,2026-09-11T22:00:00,55.49,47.93,2.5,Friday,16,Paper,39.59,No,No Overflow
HB1-05,Hostel Block 1,2026-09-25T02:00:00,76.88,72.36,5.94,Friday,20,Organic,53.22,Yes,Likely Overflow
CAN-05,Canteen,2026-09-12T21:00:00,100,100,9.1,Saturday,15,Mixed,67.11,Yes,Overflowed
HB2-04,Hostel Block 2,2026-09-04T17:00:00,95.77,96.62,4.18,Friday,11,Organic,58.09,Yes,Overflowed
AB-A-04,Academic Block A,2026-09-10T19:00:00,35.07,34.22,2.0,Thursday,13,Paper,49.55,No,No Overflow
CA-08,Common Area,2026-09-29T03:00:00,61.39,60.51,3.3,Tuesday,21,Plastic,44.87,No,No Overflow
LIB-01,Library,2026-09-24T18:00:00,72.17,74.78,2.16,Thursday,12,Paper,31.42,No,Likely Overflow
HB2-07,Hostel Block 2,2026-09-15T20:00:00,42.93,38.79,4.18,Tuesday,14,Organic,65.82,No,No Overflow
